,Number of trajectories,AUROC,AUPR,state estimator
0,1,0.8546666666666667,0.30193061548195166,exact update
1,2,0.8929333333333334,0.3897995646229316,exact update
2,3,0.9223111111111111,0.4471519420983735,exact update
3,4,0.9355111111111112,0.49830163963617335,exact update
4,5,0.9421777777777778,0.5141839935247283,exact update
5,6,0.9564,0.592681828705882,exact update
6,7,0.9650666666666666,0.6718322981238231,exact update
7,8,0.977111111111111,0.7623271117653292,exact update
8,9,0.9693777777777778,0.7248695108422776,exact update
9,10,0.9815555555555555,0.7876691534935197,exact update
10,11,0.9828444444444445,0.8064091215793484,exact update
11,12,0.9821777777777778,0.7772949273269002,exact update
12,13,0.9812444444444444,0.8140013247703944,exact update
13,14,0.9849333333333332,0.8510914811008239,exact update
14,15,0.9902666666666666,0.9081808769574653,exact update
15,16,0.9938222222222223,0.9481590680751156,exact update
16,17,0.9889333333333333,0.8844622645062772,exact update
17,18,0.9880444444444444,0.8714757340283418,exact update
18,19,0.9945777777777778,0.9535686083903798,exact update
19,20,0.9974222222222222,0.9723578037952592,exact update
20,21,0.9971111111111111,0.9750544173626227,exact update
21,22,0.9970666666666667,0.9725429539787227,exact update
22,23,0.9967111111111111,0.9696307277728693,exact update
23,24,0.9983111111111111,0.9848347429999711,exact update
24,25,0.9996,0.9966000664482427,exact update
25,26,0.9993777777777777,0.9937340033572213,exact update
26,27,0.9989777777777777,0.9917668460319025,exact update
27,28,0.9997777777777778,0.9979361684174133,exact update
28,29,0.9997777777777778,0.9980186559239081,exact update
29,30,0.9992888888888889,0.992469728896662,exact update
0,1,0.868,0.4296503560898967,exact update
1,2,0.9259111111111111,0.6631217103366084,exact update
2,3,0.9552888888888889,0.7489043756999567,exact update
3,4,0.9549333333333333,0.7397070804115181,exact update
4,5,0.9669777777777777,0.824032121893536,exact update
5,6,0.9761333333333333,0.8639604736002113,exact update
6,7,0.9897333333333334,0.8872337084499664,exact update
7,8,0.983111111111111,0.8804425338646389,exact update
8,9,0.9899111111111111,0.9143758460567802,exact update
9,10,0.9955111111111111,0.9666682547968108,exact update
10,11,0.9957333333333334,0.9684268114517594,exact update
11,12,0.9983111111111111,0.985785590610222,exact update
12,13,0.9974222222222222,0.9754734715137499,exact update
13,14,0.9984888888888889,0.9878618554687144,exact update
14,15,0.9991555555555556,0.9924867605960184,exact update
15,16,0.9984,0.9856831804416816,exact update
16,17,1.0,1.0,exact update
17,18,0.9993777777777777,0.9951257920887226,exact update
18,19,0.9999555555555555,0.9996039215686274,exact update
19,20,1.0,1.0,exact update
20,21,1.0,1.0,exact update
21,22,1.0,1.0,exact update
22,23,1.0,1.0,exact update
23,24,1.0,1.0,exact update
24,25,1.0,1.0,exact update
25,26,1.0,1.0,exact update
26,27,1.0,1.0,exact update
27,28,1.0,1.0,exact update
28,29,1.0,1.0,exact update
29,30,1.0,1.0,exact update
0,1,0.8350000000000001,0.38682220499683095,exact update
1,2,0.8955555555555557,0.4357878961248335,exact update
2,3,0.9228000000000001,0.5727138236483837,exact update
3,4,0.9290666666666667,0.6530013445069175,exact update
4,5,0.9414222222222223,0.6472026281885463,exact update
5,6,0.9529333333333334,0.690346058532058,exact update
6,7,0.9593777777777777,0.7226009385268799,exact update
7,8,0.9756888888888888,0.7771950480980501,exact update
8,9,0.9761333333333333,0.8154332586185189,exact update
9,10,0.9821333333333333,0.8389487439439711,exact update
10,11,0.9892,0.9119313350185145,exact update
11,12,0.9866222222222223,0.9154142149764806,exact update
12,13,0.9751111111111112,0.7831176910493665,exact update
13,14,0.9889333333333334,0.9296180854277579,exact update
14,15,0.9899111111111112,0.9248601146519415,exact update
15,16,0.9925333333333334,0.9362258181688761,exact update
16,17,0.9935999999999999,0.942716884258799,exact update
17,18,0.9942222222222222,0.9586934716430718,exact update
18,19,0.9964444444444445,0.9698855116368166,exact update
19,20,0.9978666666666667,0.9793405740756909,exact update
