,Number of trajectories,AUROC,AUPR,state estimator
0,1,0.8546666666666667,0.30193061548195166,exact update
1,2,0.9016000000000001,0.4264450667136698,exact update
2,3,0.9171555555555556,0.3916571234891708,exact update
3,4,0.9208000000000001,0.42598627630627883,exact update
4,5,0.9423555555555555,0.5501765335930283,exact update
5,6,0.9692444444444445,0.6843429054477264,exact update
6,7,0.9761777777777777,0.7838192596851361,exact update
7,8,0.9735999999999999,0.7370408253959988,exact update
8,9,0.9785333333333334,0.7487758396913619,exact update
9,10,0.9716444444444445,0.7061909798931992,exact update
10,11,0.9800888888888889,0.8122605378769754,exact update
11,12,0.970311111111111,0.7155705983644157,exact update
12,13,0.9875111111111111,0.8699662993125609,exact update
13,14,0.9888888888888889,0.8899854979606373,exact update
14,15,0.9905777777777778,0.9234791081244187,exact update
15,16,0.9926222222222223,0.9146440864916654,exact update
16,17,0.9901777777777777,0.8884313847120345,exact update
17,18,0.9959555555555555,0.9609288056331446,exact update
18,19,0.9915999999999999,0.9022505781387027,exact update
19,20,0.9952,0.9582286480590714,exact update
20,21,0.9942666666666666,0.9479837349714261,exact update
21,22,0.9984888888888889,0.9861920900150367,exact update
22,23,0.9940444444444444,0.9258919331038721,exact update
23,24,0.9981777777777778,0.9808309041017114,exact update
24,25,0.999511111111111,0.995539100821561,exact update
25,26,0.9993333333333333,0.9933678147918096,exact update
26,27,0.9986222222222222,0.9883410747910909,exact update
27,28,0.9995555555555555,0.9957358818809225,exact update
28,29,1.0,1.0,exact update
29,30,0.9994222222222222,0.9950317008297227,exact update
0,1,0.868,0.4296503560898967,exact update
1,2,0.9138666666666667,0.6212738509146992,exact update
2,3,0.9596444444444444,0.7459129722079492,exact update
3,4,0.9664444444444444,0.7646432474018798,exact update
4,5,0.9713777777777778,0.8020312261127772,exact update
5,6,0.9801777777777777,0.870948948986128,exact update
6,7,0.9788888888888888,0.8719210376095614,exact update
7,8,0.9933333333333333,0.9505400120824676,exact update
8,9,0.9944444444444445,0.9596481583101231,exact update
9,10,0.9960444444444444,0.9695469169876155,exact update
10,11,0.9952444444444445,0.9675888894027455,exact update
11,12,0.9993777777777777,0.9943970034819665,exact update
12,13,0.9954222222222222,0.9686992671264876,exact update
13,14,0.9978666666666667,0.9829968669439191,exact update
14,15,0.9983555555555556,0.98620285270942,exact update
15,16,0.9982222222222222,0.983164965268811,exact update
16,17,0.9997333333333333,0.9976194432978084,exact update
17,18,0.9996444444444444,0.9970455054749172,exact update
18,19,0.9992444444444445,0.9930757734984369,exact update
19,20,1.0,1.0,exact update
20,21,0.999511111111111,0.9963633879781422,exact update
21,22,1.0,1.0,exact update
22,23,1.0,1.0,exact update
23,24,1.0,1.0,exact update
24,25,1.0,1.0,exact update
25,26,1.0,1.0,exact update
26,27,1.0,1.0,exact update
27,28,1.0,1.0,exact update
28,29,1.0,1.0,exact update
29,30,1.0,1.0,exact update
0,1,0.8350000000000001,0.38682220499683095,exact update
1,2,0.8982666666666667,0.5261595356438656,exact update
2,3,0.8979111111111111,0.47685978028754206,exact update
3,4,0.946088888888889,0.6278881738516308,exact update
4,5,0.9673333333333333,0.7449241342327612,exact update
5,6,0.9572444444444445,0.7355195471261559,exact update
6,7,0.9679555555555555,0.7596101715480765,exact update
7,8,0.9781777777777777,0.8663937170323062,exact update
8,9,0.9842666666666667,0.8709772608513399,exact update
9,10,0.9817333333333333,0.8487332991986356,exact update
