,Number of trajectories,AUROC,AUPR,$p_{e}$
0,1,0.684088888888889,0.2160908076373774,0.0
1,2,0.8029777777777778,0.3785846123292997,0.0
2,3,0.8564888888888889,0.33665749520457205,0.0
3,4,0.8738666666666667,0.5337635774798208,0.0
4,5,0.8797333333333333,0.4818847027940573,0.0
5,6,0.9169777777777778,0.5999182842436714,0.0
6,7,0.9324,0.666928346124448,0.0
7,8,0.9446222222222223,0.6984950803470846,0.0
8,9,0.8957333333333333,0.4906501545436377,0.0
9,10,0.9292888888888888,0.508201111419282,0.0
10,11,0.9224888888888888,0.6228978155660394,0.0
11,12,0.9572,0.7175489686637408,0.0
12,13,0.9732444444444445,0.813614144085824,0.0
13,14,0.9762666666666666,0.8318804684509504,0.0
14,15,0.966488888888889,0.733509308092064,0.0
15,16,0.9662666666666666,0.7928396491790576,0.0
16,17,0.9516444444444445,0.7277044827595599,0.0
17,18,0.9804888888888889,0.9020935556636469,0.0
18,19,0.9875111111111111,0.8960799165253646,0.0
19,20,0.9777777777777777,0.8193965327597674,0.0
20,21,0.9753333333333333,0.8095654823587544,0.0
21,22,0.9877777777777779,0.8955444417141152,0.0
22,23,0.9868444444444444,0.9055875283237313,0.0
23,24,0.9883111111111111,0.8927360300935134,0.0
24,25,0.9839111111111111,0.8635942052508949,0.0
25,26,0.9920444444444445,0.9305670366467194,0.0
26,27,0.9935555555555555,0.946096847826416,0.0
27,28,0.9918222222222222,0.930166899030525,0.0
28,29,0.9942222222222222,0.9581631507122587,0.0
29,30,0.9966222222222223,0.9709943949104507,0.0
0,1,0.699288888888889,0.21928073216558525,0.0
1,2,0.7262222222222222,0.2687237504204643,0.0
2,3,0.8498222222222221,0.40397556911613475,0.0
3,4,0.8523111111111111,0.40010897175759513,0.0
4,5,0.9066666666666666,0.526372397117859,0.0
5,6,0.9055111111111112,0.589258571261822,0.0
6,7,0.8972444444444444,0.5449117063563987,0.0
7,8,0.9332,0.7250516636888387,0.0
8,9,0.9050222222222222,0.5599928463473522,0.0
9,10,0.9392888888888888,0.6667486273199729,0.0
10,11,0.9683111111111111,0.805815900958705,0.0
11,12,0.9550222222222222,0.7437983141577302,0.0
12,13,0.966,0.7886823959521072,0.0
13,14,0.9648888888888889,0.8097300344997168,0.0
14,15,0.9666222222222222,0.8938975700025944,0.0
15,16,0.9736,0.8248280224029697,0.0
16,17,0.9833777777777778,0.8618870410381672,0.0
17,18,0.9914222222222222,0.9330387193890852,0.0
18,19,0.9880444444444444,0.9286259373576702,0.0
19,20,0.9892888888888889,0.9261126168294294,0.0
20,21,0.9932000000000001,0.9522889288119383,0.0
21,22,0.9862222222222222,0.9082738736151037,0.0
22,23,0.9892888888888889,0.9410519611954594,0.0
23,24,0.9988444444444444,0.9900200403481743,0.0
24,25,0.9968888888888889,0.9746311789828639,0.0
25,26,0.9970666666666667,0.9765146556049755,0.0
26,27,0.9964888888888889,0.979435275747511,0.0
27,28,0.9927555555555555,0.9594756887285383,0.0
28,29,0.9987111111111111,0.9901831055692669,0.0
29,30,0.9990666666666667,0.992337364532625,0.0
0,1,0.7498222222222223,0.4002670983106602,0.0
1,2,0.8915111111111111,0.6529837214525706,0.0
2,3,0.911511111111111,0.6950021368805567,0.0
3,4,0.8958666666666666,0.6997806769669006,0.0
4,5,0.9424888888888889,0.8011849026822345,0.0
5,6,0.9673333333333333,0.844638078240454,0.0
6,7,0.9710222222222222,0.8499555513870637,0.0
7,8,0.9821777777777778,0.8943040451640958,0.0
8,9,0.9834222222222222,0.9097973362286005,0.0
9,10,0.9917333333333334,0.9425965515390335,0.0
10,11,0.9925777777777778,0.948707908285858,0.0
11,12,0.9921777777777777,0.942018731251324,0.0
12,13,0.9934222222222222,0.9526625361524745,0.0
13,14,0.9991111111111112,0.992303311171692,0.0
14,15,0.9961777777777777,0.973259070687672,0.0
15,16,0.9939111111111111,0.9557856961055806,0.0
16,17,0.9970222222222223,0.9780302578244494,0.0
17,18,0.9990666666666667,0.992247344865902,0.0
18,19,0.9976444444444444,0.9803301972671656,0.0
19,20,0.9986666666666667,0.9922070835734489,0.0
20,21,0.999688888888889,0.9972999704493958,0.0
21,22,0.9997777777777778,0.99798563186322,0.0
22,23,0.9993333333333333,0.9943385622563177,0.0
23,24,0.9990666666666667,0.992706451407699,0.0
24,25,1.0,1.0,0.0
25,26,1.0,1.0,0.0
26,27,1.0,1.0,0.0
27,28,1.0,1.0,0.0
28,29,0.9999555555555555,0.9996039215686274,0.0
29,30,1.0,1.0,0.0
0,1,0.7312444444444444,0.2036076490876125,0.0
1,2,0.7878666666666667,0.22810331091383124,0.0
2,3,0.8512888888888889,0.3731746022396314,0.0
3,4,0.8715555555555555,0.3888920575080683,0.0
4,5,0.8475111111111111,0.4463917282488183,0.0
5,6,0.8910666666666667,0.5095663500815031,0.0
6,7,0.893511111111111,0.49325832736131814,0.0
7,8,0.9120444444444444,0.5095062302921379,0.0
8,9,0.9311111111111111,0.6264315813697844,0.0
9,10,0.9235111111111112,0.5406285936455028,0.0
10,11,0.9500444444444445,0.684738245633982,0.0
11,12,0.9640888888888889,0.6465089843773255,0.0
12,13,0.9207555555555555,0.5978350633277313,0.0
13,14,0.9520888888888889,0.6482623207216457,0.0
14,15,0.968,0.6930427150869248,0.0
15,16,0.9499555555555556,0.6996106474789883,0.0
16,17,0.9759555555555555,0.7869063656631541,0.0
17,18,0.9714666666666667,0.779593297950093,0.0
18,19,0.9830222222222222,0.846402111086249,0.0
19,20,0.9772444444444445,0.8317426403417895,0.0
20,21,0.9684,0.7185717777569998,0.0
21,22,0.9706666666666668,0.7863385894718218,0.0
22,23,0.9782222222222222,0.8439926401846536,0.0
23,24,0.9838666666666667,0.8397151876247231,0.0
24,25,0.9824444444444445,0.8400534273117275,0.0
25,26,0.9864888888888889,0.899610325239279,0.0
26,27,0.9888888888888889,0.9112458389328819,0.0
27,28,0.9917777777777778,0.930291836057044,0.0
28,29,0.9866222222222223,0.8865872328099074,0.0
29,30,0.9910666666666667,0.9226739955462399,0.0
0,1,0.7896,0.3079233755041057,0.0
1,2,0.8570222222222221,0.43799806051165957,0.0
2,3,0.9092888888888888,0.5159851031765474,0.0
3,4,0.9286222222222222,0.6750170783225016,0.0
4,5,0.9522666666666667,0.7477460114141913,0.0
5,6,0.9555999999999999,0.7773966497179589,0.0
6,7,0.9816,0.9004930370172248,0.0
7,8,0.9829777777777777,0.8937619741874003,0.0
8,9,0.9855111111111111,0.8840259624689846,0.0
9,10,0.9898666666666667,0.9179310325045054,0.0
10,11,0.9894666666666667,0.934024450307183,0.0
11,12,0.9901777777777778,0.9352485331873772,0.0
12,13,0.9935111111111111,0.9615725109687087,0.0
13,14,0.9987111111111111,0.9895807548981259,0.0
14,15,0.9974222222222222,0.9769099387805311,0.0
15,16,0.9986666666666666,0.9889129411883639,0.0
16,17,0.9968888888888889,0.9777615113824202,0.0
17,18,0.9992888888888889,0.9934118160867349,0.0
18,19,0.9998666666666666,0.9988570391872279,0.0
19,20,1.0,1.0,0.0
20,21,1.0,1.0,0.0
21,22,1.0,1.0,0.0
22,23,0.9999555555555555,0.9996039215686274,0.0
23,24,0.9999555555555555,0.9996039215686274,0.0
24,25,1.0,1.0,0.0
25,26,1.0,1.0,0.0
26,27,1.0,1.0,0.0
27,28,1.0,1.0,0.0
28,29,1.0,1.0,0.0
29,30,1.0,1.0,0.0
0,1,0.7048888888888889,0.2774005732813992,0.0
1,2,0.8238222222222221,0.41082826587528437,0.0
2,3,0.8682666666666666,0.47539977445923337,0.0
3,4,0.8888,0.6040916820697234,0.0
4,5,0.8977333333333334,0.7373814620633556,0.0
5,6,0.9572,0.7868325530868125,0.0
6,7,0.9284444444444445,0.7612082854213208,0.0
7,8,0.9428444444444444,0.8009444073820476,0.0
8,9,0.9629777777777778,0.8548711469848485,0.0
9,10,0.9784888888888889,0.8959109600901174,0.0
10,11,0.964488888888889,0.8419799327458694,0.0
11,12,0.986488888888889,0.9259516040884792,0.0
12,13,0.9875999999999999,0.9313343072201029,0.0
13,14,0.9900444444444445,0.9431379820646715,0.0
14,15,0.9907111111111111,0.9404586534319125,0.0
15,16,0.9865777777777778,0.9451773112957923,0.0
16,17,0.9984888888888889,0.9877975687467113,0.0
17,18,0.9939555555555556,0.9600656193090602,0.0
18,19,0.9975111111111111,0.982994141968762,0.0
19,20,0.9963111111111111,0.9755067914138975,0.0
20,21,0.9991555555555556,0.9934822717358303,0.0
21,22,0.9997777777777778,0.9981649831649833,0.0
22,23,0.9991111111111111,0.9925172212770301,0.0
23,24,1.0,1.0,0.0
24,25,0.9998666666666666,0.9988570391872279,0.0
25,26,0.9976888888888888,0.9881642078681552,0.0
26,27,0.9999555555555555,0.9996039215686274,0.0
27,28,1.0,1.0,0.0
28,29,1.0,1.0,0.0
29,30,1.0,1.0,0.0
0,1,0.7623111111111112,0.243939884304113,0.0
1,2,0.8101777777777778,0.32794547938091934,0.0
2,3,0.8213777777777778,0.3748629269876712,0.0
3,4,0.8844444444444445,0.4826432969432536,0.0
4,5,0.8607111111111111,0.36966876422457323,0.0
5,6,0.9127555555555555,0.5740729133492543,0.0
6,7,0.8809777777777779,0.5149936285831503,0.0
7,8,0.9243999999999999,0.5991326604932765,0.0
8,9,0.9481333333333333,0.7533641799927341,0.0
9,10,0.9490222222222222,0.6604500855520239,0.0
10,11,0.9369333333333333,0.6741108015564797,0.0
11,12,0.9457333333333333,0.7528617677841108,0.0
12,13,0.9437777777777778,0.6917429898191572,0.0
13,14,0.9695555555555555,0.8203816383512152,0.0
14,15,0.981111111111111,0.9040703256584322,0.0
15,16,0.9654666666666667,0.8224757086988955,0.0
16,17,0.9709777777777778,0.8402321703266891,0.0
17,18,0.9801333333333333,0.8721223317836406,0.0
18,19,0.9787111111111112,0.8808838825598156,0.0
19,20,0.9916444444444446,0.9501208655392268,0.0
20,21,0.9911555555555556,0.9325426816517846,0.0
21,22,0.9846666666666667,0.9229354976666218,0.0
22,23,0.9899111111111112,0.9491322233234172,0.0
23,24,0.9925777777777778,0.951273276609065,0.0
24,25,0.9941777777777777,0.9711825904320879,0.0
25,26,0.9977333333333334,0.9815169609409057,0.0
26,27,0.9985777777777778,0.9861785508147354,0.0
27,28,0.9994666666666667,0.9950171964064103,0.0
28,29,0.9940888888888888,0.9677384637559185,0.0
29,30,0.9998666666666667,0.998787424969988,0.0
0,1,0.7259777777777777,0.24736081625966905,0.0
1,2,0.8283111111111112,0.40763568104158715,0.0
2,3,0.8399555555555556,0.43212971999120936,0.0
3,4,0.8650666666666667,0.4634683416477582,0.0
4,5,0.8891555555555556,0.46616994443152704,0.0
5,6,0.8646222222222223,0.5544849366292975,0.0
6,7,0.9177777777777778,0.6690237602852238,0.0
7,8,0.9303111111111111,0.661529448801477,0.0
8,9,0.9720888888888889,0.8307810957900572,0.0
9,10,0.9648444444444445,0.8092589169048626,0.0
10,11,0.9428,0.6658894411837949,0.0
11,12,0.9639111111111112,0.7370000747610466,0.0
12,13,0.9730222222222222,0.8254577913407306,0.0
13,14,0.9689777777777777,0.8044309953372375,0.0
14,15,0.973511111111111,0.84309089422243,0.0
15,16,0.9783555555555555,0.8393689246514995,0.0
16,17,0.9834222222222222,0.8855619720113866,0.0
17,18,0.9862666666666666,0.8937329890528918,0.0
18,19,0.9759111111111111,0.896155402666289,0.0
19,20,0.9894222222222222,0.9272381530528069,0.0
20,21,0.9860888888888889,0.8817095207814432,0.0
21,22,0.9912444444444444,0.9385160120878097,0.0
22,23,0.9984444444444445,0.9867950633857112,0.0
23,24,0.9908888888888888,0.929203566440586,0.0
24,25,0.9905333333333333,0.9379642619042816,0.0
25,26,0.9948,0.9629147864748933,0.0
26,27,0.9985333333333334,0.9878797603625807,0.0
27,28,0.9939555555555555,0.9658729914950634,0.0
28,29,0.9984888888888889,0.9879352605997528,0.0
29,30,0.9976888888888888,0.9819865426568992,0.0
0,1,0.7206666666666666,0.21338214013337836,0.0
1,2,0.7453777777777778,0.23660068705698623,0.0
2,3,0.8038666666666667,0.27766251827895844,0.0
3,4,0.8539111111111111,0.4141850665480422,0.0
4,5,0.8468,0.4179395071609334,0.0
5,6,0.8802666666666666,0.42594528659372455,0.0
6,7,0.9444444444444444,0.6434484012340459,0.0
7,8,0.9097777777777778,0.5551934355063972,0.0
8,9,0.9196444444444445,0.5514250819898393,0.0
9,10,0.9553777777777778,0.7062121902727597,0.0
10,11,0.9373333333333334,0.5928012433164028,0.0
11,12,0.9309333333333333,0.5014945122927457,0.0
12,13,0.9620888888888889,0.6708920680440799,0.0
13,14,0.9586222222222222,0.6980930692387939,0.0
14,15,0.9564888888888888,0.6056608866651563,0.0
15,16,0.9599555555555555,0.5778024774688583,0.0
16,17,0.9605333333333332,0.7132713532349879,0.0
17,18,0.970488888888889,0.7592950297432979,0.0
18,19,0.964,0.6820892887740767,0.0
19,20,0.9649777777777778,0.7318625540596198,0.0
20,21,0.9754222222222223,0.7806565960031088,0.0
21,22,0.9700888888888889,0.7435109398427536,0.0
22,23,0.9785333333333333,0.8284846721944861,0.0
23,24,0.9775111111111111,0.8215835073253446,0.0
24,25,0.9712,0.7426657236608032,0.0
25,26,0.9810222222222222,0.8602568821701446,0.0
26,27,0.9765333333333334,0.7968268551606267,0.0
27,28,0.9856444444444444,0.8442542364835065,0.0
28,29,0.9722222222222222,0.7736292825467125,0.0
29,30,0.9788,0.8244477032113572,0.0
0,1,0.7408,0.2475669654221314,0.0
1,2,0.7899111111111111,0.3230675826338322,0.0
2,3,0.7649333333333334,0.29446596972931405,0.0
3,4,0.8522666666666665,0.45488425252198844,0.0
4,5,0.8969777777777779,0.5337967523262614,0.0
5,6,0.9414222222222223,0.7502452650172249,0.0
6,7,0.9415555555555556,0.7414055282087093,0.0
7,8,0.9112888888888889,0.5879473713035004,0.0
8,9,0.9348444444444444,0.7680185533895698,0.0
9,10,0.9521777777777778,0.7595754374687069,0.0
10,11,0.9736888888888888,0.8485102691626173,0.0
11,12,0.9474222222222222,0.7471699802056029,0.0
12,13,0.9761333333333333,0.8751875774867355,0.0
13,14,0.9816888888888888,0.8818607549704591,0.0
14,15,0.9860888888888889,0.8695027215106034,0.0
15,16,0.9809333333333333,0.8739278848046252,0.0
16,17,0.9931555555555556,0.9503679982100931,0.0
17,18,0.9961777777777777,0.9636528125401642,0.0
18,19,0.9949333333333333,0.9691506019733818,0.0
19,20,0.9933333333333333,0.9550681013887357,0.0
20,21,0.9969333333333333,0.9719937651129424,0.0
21,22,0.9973333333333334,0.9795423123765158,0.0
22,23,0.9947111111111111,0.963896166139258,0.0
23,24,1.0,1.0,0.0
24,25,0.9994666666666667,0.9954528001205027,0.0
25,26,0.9998222222222223,0.9985045422781273,0.0
26,27,0.9996888888888888,0.9975219298245614,0.0
27,28,0.9997333333333333,0.9975975566331279,0.0
28,29,0.9999555555555555,0.9996039215686274,0.0
29,30,0.9999111111111111,0.9991998399359744,0.0
0,1,0.6939333333333333,0.21577073080569784,0.1
1,2,0.8008444444444445,0.3774801210323127,0.1
2,3,0.8634222222222222,0.42983691067763585,0.1
3,4,0.8418222222222221,0.38868714103733665,0.1
4,5,0.8783555555555556,0.5484181693019148,0.1
5,6,0.8931555555555555,0.6391390222875984,0.1
6,7,0.9057333333333333,0.6511816037743634,0.1
7,8,0.9123111111111111,0.6101089051771352,0.1
8,9,0.9564444444444444,0.7867989461567072,0.1
9,10,0.9467555555555556,0.7501808020879533,0.1
10,11,0.9444444444444444,0.7675988952966043,0.1
11,12,0.9628,0.8148595999353779,0.1
12,13,0.9648,0.8341781078204675,0.1
13,14,0.9744444444444444,0.8593246676313461,0.1
14,15,0.9839555555555555,0.9138187930608146,0.1
15,16,0.9758666666666667,0.9012379654361526,0.1
16,17,0.9881777777777778,0.9103464535553889,0.1
17,18,0.9800888888888889,0.90919949417731,0.1
18,19,0.9964444444444445,0.9703205378264295,0.1
19,20,0.9950666666666668,0.9695840876112223,0.1
20,21,0.9981777777777778,0.9869106994836241,0.1
21,22,0.9934222222222222,0.9435506349775453,0.1
22,23,0.9987111111111112,0.9881008223381137,0.1
23,24,0.9993333333333333,0.9945049978387621,0.1
24,25,0.9994222222222223,0.9956932213816252,0.1
25,26,0.9987999999999999,0.9905011123049854,0.1
26,27,0.9974222222222222,0.9832728316687523,0.1
27,28,0.9989777777777777,0.9918458619798942,0.1
28,29,0.9994222222222222,0.9951957614644112,0.1
29,30,0.9991111111111112,0.9932581667621088,0.1
0,1,0.6425555555555555,0.20216659103639384,0.1
1,2,0.6793333333333333,0.27071043467531597,0.1
2,3,0.7677777777777777,0.30982970529926646,0.1
3,4,0.766311111111111,0.40492865005345086,0.1
