,Number of trajectories,AUROC,AUPR,prior
0,1,0.684088888888889,0.2160908076373774,informative prior
1,2,0.7277333333333333,0.25670674150873535,informative prior
2,3,0.8662666666666666,0.4962857719861711,informative prior
3,4,0.8478222222222223,0.46429917469154447,informative prior
4,5,0.8664444444444445,0.4295908871472008,informative prior
5,6,0.9173333333333333,0.6097684426464667,informative prior
6,7,0.9225333333333333,0.5518501515584683,informative prior
7,8,0.9063111111111112,0.516487959236321,informative prior
8,9,0.9270222222222222,0.5277868278595895,informative prior
9,10,0.9344444444444444,0.6474558802678385,informative prior
10,11,0.9390222222222222,0.6944024853103091,informative prior
11,12,0.9475555555555556,0.7002860789247893,informative prior
12,13,0.9558222222222222,0.7410928179471328,informative prior
13,14,0.9710666666666666,0.8287351539134953,informative prior
14,15,0.9643111111111111,0.6869432137069128,informative prior
15,16,0.9668,0.7230329220721934,informative prior
16,17,0.9835555555555555,0.8916303199964857,informative prior
17,18,0.9722666666666666,0.7845765252482315,informative prior
18,19,0.978088888888889,0.8249886905433461,informative prior
19,20,0.9862666666666667,0.9056677162139486,informative prior
20,21,0.9817777777777777,0.8502671210733408,informative prior
21,22,0.9917777777777778,0.9172894926236149,informative prior
22,23,0.9759555555555556,0.7588245808390378,informative prior
23,24,0.9886222222222223,0.8714985370761087,informative prior
24,25,0.9916444444444444,0.9330611241698655,informative prior
25,26,0.9929333333333333,0.9424113627504289,informative prior
26,27,0.9832888888888889,0.8828210386167716,informative prior
27,28,0.9876444444444444,0.9159631940132205,informative prior
28,29,0.9935555555555555,0.9399029241171353,informative prior
29,30,0.9963555555555555,0.9656093169870377,informative prior
0,1,0.699288888888889,0.21928073216558525,informative prior
1,2,0.7586666666666667,0.34175974345713733,informative prior
2,3,0.7552,0.25675671896001045,informative prior
3,4,0.8925777777777777,0.4695321671652883,informative prior
4,5,0.8670222222222222,0.40265185366272177,informative prior
5,6,0.8887111111111111,0.5149329139792159,informative prior
6,7,0.8931111111111111,0.5759639174073512,informative prior
7,8,0.9096444444444445,0.5456605827239724,informative prior
8,9,0.9104888888888889,0.6077833763033437,informative prior
9,10,0.9401333333333333,0.6184468960536555,informative prior
10,11,0.9421333333333333,0.7471240256586652,informative prior
11,12,0.9616,0.7756952984714904,informative prior
12,13,0.9651555555555555,0.8307674508786109,informative prior
13,14,0.9493777777777778,0.7427538595177089,informative prior
14,15,0.9677333333333333,0.7870106324959023,informative prior
15,16,0.9826222222222223,0.8999023935591546,informative prior
16,17,0.9838666666666667,0.8957452133471019,informative prior
17,18,0.9759555555555557,0.9029577198692016,informative prior
18,19,0.9850222222222221,0.8892804629294984,informative prior
19,20,0.9921333333333333,0.9394364122239137,informative prior
20,21,0.9929777777777777,0.953560013980188,informative prior
21,22,0.9923111111111111,0.9575123482400143,informative prior
22,23,0.9938666666666666,0.9636334926173472,informative prior
23,24,0.9960444444444445,0.9700071055085397,informative prior
24,25,0.9969777777777777,0.9803708232325341,informative prior
25,26,0.9966666666666667,0.97691498489929,informative prior
26,27,0.9972888888888889,0.9860065291116629,informative prior
