,b1,b2,b3,b4
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.03,0.97
2,0.0,0.0,0.06,0.94
3,0.0,0.0,0.09,0.91
4,0.0,0.0,0.12,0.88
5,0.0,0.0,0.15,0.85
6,0.0,0.0,0.18,0.8200000000000001
7,0.0,0.0,0.21,0.79
8,0.0,0.0,0.24,0.76
9,0.0,0.0,0.27,0.73
10,0.0,0.0,0.3,0.7
11,0.0,0.0,0.32999999999999996,0.67
12,0.0,0.0,0.36,0.64
13,0.0,0.0,0.39,0.61
14,0.0,0.0,0.42,0.5800000000000001
15,0.0,0.0,0.44999999999999996,0.55
16,0.0,0.0,0.48,0.52
17,0.0,0.0,0.51,0.49
18,0.0,0.0,0.54,0.45999999999999996
19,0.0,0.0,0.57,0.43000000000000005
20,0.0,0.0,0.6,0.4
21,0.0,0.0,0.63,0.37
22,0.0,0.0,0.6599999999999999,0.3400000000000001
23,0.0,0.0,0.69,0.31000000000000005
24,0.0,0.0,0.72,0.28
25,0.0,0.0,0.75,0.25
26,0.0,0.0,0.78,0.21999999999999997
27,0.0,0.0,0.8099999999999999,0.19000000000000006
28,0.0,0.0,0.84,0.16000000000000003
29,0.0,0.0,0.87,0.13
30,0.0,0.0,0.8999999999999999,0.10000000000000009
31,0.0,0.0,0.9299999999999999,0.07000000000000006
32,0.0,0.0,0.96,0.040000000000000036
33,0.0,0.0,0.99,0.010000000000000009
34,0.0,0.03,0.0,0.97
35,0.0,0.03,0.03,0.94
36,0.0,0.03,0.06,0.9099999999999999
37,0.0,0.03,0.09,0.88
38,0.0,0.03,0.12,0.85
39,0.0,0.03,0.15,0.82
40,0.0,0.03,0.18,0.79
41,0.0,0.03,0.21,0.76
42,0.0,0.03,0.24,0.73
43,0.0,0.03,0.27,0.7
44,0.0,0.03,0.3,0.6699999999999999
45,0.0,0.03,0.32999999999999996,0.64
46,0.0,0.03,0.36,0.61
47,0.0,0.03,0.39,0.58
48,0.0,0.03,0.42,0.55
49,0.0,0.03,0.44999999999999996,0.52
50,0.0,0.03,0.48,0.49
51,0.0,0.03,0.51,0.45999999999999996
52,0.0,0.03,0.54,0.42999999999999994
53,0.0,0.03,0.57,0.4
54,0.0,0.03,0.6,0.37
55,0.0,0.03,0.63,0.33999999999999997
56,0.0,0.03,0.6599999999999999,0.31000000000000005
57,0.0,0.03,0.69,0.28
58,0.0,0.03,0.72,0.25
59,0.0,0.03,0.75,0.21999999999999997
60,0.0,0.03,0.78,0.18999999999999995
61,0.0,0.03,0.8099999999999999,0.16000000000000003
62,0.0,0.03,0.84,0.13
63,0.0,0.03,0.87,0.09999999999999998
64,0.0,0.03,0.8999999999999999,0.07000000000000006
65,0.0,0.03,0.9299999999999999,0.040000000000000036
66,0.0,0.03,0.96,0.010000000000000009
67,0.0,0.06,0.0,0.94
68,0.0,0.06,0.03,0.9099999999999999
69,0.0,0.06,0.06,0.8799999999999999
70,0.0,0.06,0.09,0.85
71,0.0,0.06,0.12,0.82
72,0.0,0.06,0.15,0.7899999999999999
73,0.0,0.06,0.18,0.76
74,0.0,0.06,0.21,0.73
75,0.0,0.06,0.24,0.7
76,0.0,0.06,0.27,0.6699999999999999
77,0.0,0.06,0.3,0.6399999999999999
78,0.0,0.06,0.32999999999999996,0.61
79,0.0,0.06,0.36,0.58
80,0.0,0.06,0.39,0.5499999999999999
81,0.0,0.06,0.42,0.52
82,0.0,0.06,0.44999999999999996,0.49
83,0.0,0.06,0.48,0.45999999999999996
84,0.0,0.06,0.51,0.42999999999999994
85,0.0,0.06,0.54,0.3999999999999999
86,0.0,0.06,0.57,0.37
87,0.0,0.06,0.6,0.33999999999999997
88,0.0,0.06,0.63,0.30999999999999994
89,0.0,0.06,0.6599999999999999,0.28
90,0.0,0.06,0.69,0.25
91,0.0,0.06,0.72,0.21999999999999997
92,0.0,0.06,0.75,0.18999999999999995
93,0.0,0.06,0.78,0.15999999999999992
94,0.0,0.06,0.8099999999999999,0.13
95,0.0,0.06,0.84,0.09999999999999998
96,0.0,0.06,0.87,0.06999999999999995
97,0.0,0.06,0.8999999999999999,0.040000000000000036
98,0.0,0.06,0.9299999999999999,0.010000000000000009
99,0.0,0.09,0.0,0.91
100,0.0,0.09,0.03,0.88
101,0.0,0.09,0.06,0.8500000000000001
102,0.0,0.09,0.09,0.8200000000000001
103,0.0,0.09,0.12,0.79
104,0.0,0.09,0.15,0.76
105,0.0,0.09,0.18,0.73
106,0.0,0.09,0.21,0.7000000000000001
107,0.0,0.09,0.24,0.67
108,0.0,0.09,0.27,0.64
109,0.0,0.09,0.3,0.6100000000000001
110,0.0,0.09,0.32999999999999996,0.5800000000000001
111,0.0,0.09,0.36,0.55
112,0.0,0.09,0.39,0.52
113,0.0,0.09,0.42,0.49000000000000005
114,0.0,0.09,0.44999999999999996,0.4600000000000001
115,0.0,0.09,0.48,0.43000000000000005
116,0.0,0.09,0.51,0.4
117,0.0,0.09,0.54,0.37
118,0.0,0.09,0.57,0.3400000000000001
119,0.0,0.09,0.6,0.31000000000000005
120,0.0,0.09,0.63,0.28
121,0.0,0.09,0.6599999999999999,0.2500000000000001
122,0.0,0.09,0.69,0.22000000000000008
123,0.0,0.09,0.72,0.19000000000000006
124,0.0,0.09,0.75,0.16000000000000003
125,0.0,0.09,0.78,0.13
126,0.0,0.09,0.8099999999999999,0.10000000000000009
127,0.0,0.09,0.84,0.07000000000000006
128,0.0,0.09,0.87,0.040000000000000036
129,0.0,0.09,0.8999999999999999,0.01000000000000012
130,0.0,0.12,0.0,0.88
131,0.0,0.12,0.03,0.85
132,0.0,0.12,0.06,0.8200000000000001
133,0.0,0.12,0.09,0.79
134,0.0,0.12,0.12,0.76
135,0.0,0.12,0.15,0.73
136,0.0,0.12,0.18,0.7
137,0.0,0.12,0.21,0.67
138,0.0,0.12,0.24,0.64
139,0.0,0.12,0.27,0.61
140,0.0,0.12,0.3,0.5800000000000001
141,0.0,0.12,0.32999999999999996,0.55
142,0.0,0.12,0.36,0.52
143,0.0,0.12,0.39,0.49
144,0.0,0.12,0.42,0.46
145,0.0,0.12,0.44999999999999996,0.43000000000000005
146,0.0,0.12,0.48,0.4
147,0.0,0.12,0.51,0.37
148,0.0,0.12,0.54,0.33999999999999997
149,0.0,0.12,0.57,0.31000000000000005
150,0.0,0.12,0.6,0.28
151,0.0,0.12,0.63,0.25
152,0.0,0.12,0.6599999999999999,0.22000000000000008
153,0.0,0.12,0.69,0.19000000000000006
154,0.0,0.12,0.72,0.16000000000000003
155,0.0,0.12,0.75,0.13
156,0.0,0.12,0.78,0.09999999999999998
157,0.0,0.12,0.8099999999999999,0.07000000000000006
158,0.0,0.12,0.84,0.040000000000000036
159,0.0,0.12,0.87,0.010000000000000009
160,0.0,0.15,0.0,0.85
161,0.0,0.15,0.03,0.82
162,0.0,0.15,0.06,0.79
163,0.0,0.15,0.09,0.76
164,0.0,0.15,0.12,0.73
165,0.0,0.15,0.15,0.7
166,0.0,0.15,0.18,0.6699999999999999
167,0.0,0.15,0.21,0.64
168,0.0,0.15,0.24,0.61
169,0.0,0.15,0.27,0.58
170,0.0,0.15,0.3,0.55
171,0.0,0.15,0.32999999999999996,0.52
172,0.0,0.15,0.36,0.49
173,0.0,0.15,0.39,0.45999999999999996
174,0.0,0.15,0.42,0.43
175,0.0,0.15,0.44999999999999996,0.4
176,0.0,0.15,0.48,0.37
177,0.0,0.15,0.51,0.33999999999999997
178,0.0,0.15,0.54,0.30999999999999994
179,0.0,0.15,0.57,0.28
180,0.0,0.15,0.6,0.25
181,0.0,0.15,0.63,0.21999999999999997
182,0.0,0.15,0.6599999999999999,0.19000000000000006
183,0.0,0.15,0.69,0.16000000000000003
184,0.0,0.15,0.72,0.13
185,0.0,0.15,0.75,0.09999999999999998
186,0.0,0.15,0.78,0.06999999999999995
187,0.0,0.15,0.8099999999999999,0.040000000000000036
188,0.0,0.15,0.84,0.010000000000000009
189,0.0,0.18,0.0,0.8200000000000001
190,0.0,0.18,0.03,0.79
191,0.0,0.18,0.06,0.76
192,0.0,0.18,0.09,0.7300000000000001
193,0.0,0.18,0.12,0.7000000000000001
194,0.0,0.18,0.15,0.67
195,0.0,0.18,0.18,0.6400000000000001
196,0.0,0.18,0.21,0.6100000000000001
197,0.0,0.18,0.24,0.5800000000000001
198,0.0,0.18,0.27,0.55
199,0.0,0.18,0.3,0.52
200,0.0,0.18,0.32999999999999996,0.4900000000000001
201,0.0,0.18,0.36,0.4600000000000001
202,0.0,0.18,0.39,0.43000000000000005
203,0.0,0.18,0.42,0.4000000000000001
204,0.0,0.18,0.44999999999999996,0.3700000000000001
205,0.0,0.18,0.48,0.3400000000000001
206,0.0,0.18,0.51,0.31000000000000005
207,0.0,0.18,0.54,0.28
208,0.0,0.18,0.57,0.2500000000000001
209,0.0,0.18,0.6,0.22000000000000008
210,0.0,0.18,0.63,0.19000000000000006
211,0.0,0.18,0.6599999999999999,0.16000000000000014
212,0.0,0.18,0.69,0.13000000000000012
213,0.0,0.18,0.72,0.10000000000000009
214,0.0,0.18,0.75,0.07000000000000006
215,0.0,0.18,0.78,0.040000000000000036
